book_id,title,author,genre,publication_year,page_count,format_availability,data_source
B070,Guide to Wisdom,G. H. Wells,non_fiction,1988,467,Both,API_Catalog
B071,Guide to Eternity,D. M. Chen,Fantasy,2013,436,Physical,API_Catalog
B072,Shadows over Time,J. K. Rowling,non_fiction,2004,255,Ebook,API_Catalog
B073,The Silent Stars,A. E. Sterling,Fiction,2016,487,Both,API_Catalog
B074,Guide to Thinking,I. M. Banks,Mystery,2018,599,Ebook,API_Catalog
B075,The Silent Thinking,B. K. Thorne,Mystery,1996,474,Both,API_Catalog
B076,Echoes of Mind,K. N. Robinson,Science Fiction,2023,660,Ebook,API_Catalog
B077,The Art of Mind,J. K. Rowling,Science Fiction,2007,384,Ebook,API_Catalog
B078,The Silent Mind,G. H. Wells,SciFi,1985,561,Both,API_Catalog
B079,Chronicles of Wisdom,D. M. Chen,SciFi,2002,695,Both,API_Catalog
B080,Chronicles of Data,E. J. Harrison,Biography,2021,604,Ebook,API_Catalog
B081,Principles of Wisdom,H. P. Craft,Romance,2021,564,Both,API_Catalog
B082,Echoes of Time,H. P. Craft,Sci-Fi,1995,639,Ebook,API_Catalog
B083,Echoes of Mind,I. M. Banks,Science Fiction,2019,356,Physical,API_Catalog
B084,Beyond the Eternity,F. L. Mercer,Non-Fiction,2009,419,Both,API_Catalog
B085,Shadows over Stars,E. J. Harrison,Mystery,1995,712,Ebook,API_Catalog
B086,Guide to Thinking,L. T. Torres,Fantasy,1991,490,Both,API_Catalog
B087,The Silent Thinking,E. J. Harrison,SciFi,1997,437,Both,API_Catalog
B088,Echoes of Eternity,E. J. Harrison,Non-Fiction,2017,624,Physical,API_Catalog
B089,Echoes of Thinking,C. R. Vance,Fantasy,2017,341,Physical,API_Catalog
B090,Beyond the Data,L. T. Torres,Romance,2009,275,Ebook,API_Catalog
B091,Shadows over Wisdom,I. M. Banks,Self-Help,2025,705,Both,API_Catalog
B092,Beyond the Time,B. K. Thorne,SciFi,1994,326,Both,API_Catalog
B093,The Art of Wisdom,A. E. Sterling,Fiction,2002,459,Both,API_Catalog
B094,Chronicles of Eternity,K. N. Robinson,Fantasy,1999,323,Physical,API_Catalog
B095,Principles of Solitude,I. M. Banks,non_fiction,1987,694,Physical,API_Catalog
B096,The Art of Thinking,A. E. Sterling,Non-Fiction,2000,727,Physical,API_Catalog
B097,Echoes of Eternity,I. M. Banks,Fiction,1984,239,Both,API_Catalog
B098,Chronicles of Thinking,C. R. Vance,Biography,1985,336,Both,API_Catalog
B099,Principles of Time,E. J. Harrison,Romance,2019,574,Both,API_Catalog
B100,The Silent Stars,D. M. Chen,SciFi,2017,377,Both,API_Catalog
B101,Shadows over Mind,F. L. Mercer,Self Help,2012,301,Both,API_Catalog
B102,The Art of Eternity,D. M. Chen,Mystery,2017,146,Both,API_Catalog
B103,Principles of Empire,A. E. Sterling,Mystery,2022,210,Both,API_Catalog
B104,Chronicles of Empire,K. N. Robinson,non_fiction,1989,570,Both,API_Catalog
B105,Shadows over Wisdom,C. R. Vance,Self Help,2014,470,Physical,API_Catalog
B106,Echoes of Empire,A. E. Sterling,Self-Help,1992,578,Ebook,API_Catalog
B107,Shadows over Data,H. P. Craft,Romance,1990,627,Both,API_Catalog
B108,Beyond the Data,D. M. Chen,Fiction,2014,717,Physical,API_Catalog
B109,Shadows over Empire,F. L. Mercer,Fantasy,1993,233,Both,API_Catalog
B110,Echoes of Wisdom,F. L. Mercer,SciFi,2015,326,Ebook,API_Catalog
B111,The Art of Thinking,F. L. Mercer,Fiction,2014,634,Both,API_Catalog
B112,Echoes of Wisdom,C. R. Vance,Sci-Fi,2000,244,Ebook,API_Catalog
B113,Beyond the Time,B. K. Thorne,Sci-Fi,2004,187,Both,API_Catalog
B114,The Art of Stars,L. T. Torres,Self Help,1998,569,Both,API_Catalog
B115,Chronicles of Empire,J. K. Rowling,Academic,2022,395,Ebook,API_Catalog
B116,Echoes of Empire,J. K. Rowling,Science Fiction,2002,741,Ebook,API_Catalog
B117,Beyond the Time,L. T. Torres,Biography,2007,310,Physical,API_Catalog
B118,The Silent Thinking,I. M. Banks,SciFi,2000,681,Both,API_Catalog
B119,Shadows over Stars,G. H. Wells,Non-Fiction,2021,587,Both,API_Catalog
B120,Chronicles of Stars,K. N. Robinson,Non-Fiction,1993,407,Ebook,API_Catalog
B121,Beyond the Thinking,E. J. Harrison,SciFi,1997,274,Both,API_Catalog
B122,The Art of Stars,G. H. Wells,non_fiction,1997,590,Both,API_Catalog
B123,Beyond the Thinking,C. R. Vance,Science Fiction,2023,462,Both,API_Catalog
B124,The Art of Empire,K. N. Robinson,non_fiction,2004,301,Physical,API_Catalog
B125,Principles of Wisdom,G. H. Wells,Academic,1998,183,Both,API_Catalog
B126,The Silent Wisdom,E. J. Harrison,Science Fiction,1980,735,Both,API_Catalog
B127,The Art of Stars,H. P. Craft,Self-Help,2001,212,Both,API_Catalog
B128,Guide to Data,I. M. Banks,Self-Help,1999,553,Both,API_Catalog
B129,Principles of Mind,E. J. Harrison,Academic,2022,326,Both,API_Catalog
B130,Chronicles of Mind,D. M. Chen,SciFi,1999,341,Both,API_Catalog
B131,Beyond the Data,D. M. Chen,Mystery,2007,303,Both,API_Catalog
B132,The Silent Time,D. M. Chen,Self-Help,1992,557,Ebook,API_Catalog
B133,Echoes of Solitude,G. H. Wells,SciFi,1987,269,Both,API_Catalog
B134,Shadows over Empire,H. P. Craft,Biography,2008,415,Physical,API_Catalog
B135,Shadows over Eternity,K. N. Robinson,non_fiction,1996,459,Both,API_Catalog
B136,The Silent Mind,G. H. Wells,Science Fiction,1995,638,Ebook,API_Catalog
B137,Principles of Thinking,H. P. Craft,Fiction,2006,300,Both,API_Catalog
B138,Shadows over Mind,H. P. Craft,Mystery,1988,298,Physical,API_Catalog
B139,Guide to Thinking,I. M. Banks,Sci-Fi,2021,584,Both,API_Catalog
B140,Chronicles of Solitude,J. K. Rowling,non_fiction,1987,326,Both,API_Catalog
B141,The Art of Thinking,H. P. Craft,Mystery,2009,485,Ebook,API_Catalog
B142,Guide to Solitude,E. J. Harrison,Self Help,2018,428,Both,API_Catalog
B143,Shadows over Wisdom,I. M. Banks,Self-Help,1996,183,Both,API_Catalog
B144,Shadows over Wisdom,H. P. Craft,Non-Fiction,2008,613,Ebook,API_Catalog
B145,Beyond the Data,E. J. Harrison,Romance,1986,483,Physical,API_Catalog
B146,Chronicles of Thinking,B. K. Thorne,Mystery,1999,169,Physical,API_Catalog
B147,Principles of Data,G. H. Wells,non_fiction,1989,683,Ebook,API_Catalog
B148,Principles of Data,B. K. Thorne,Biography,1999,703,Ebook,API_Catalog
B149,The Art of Stars,I. M. Banks,Self-Help,2002,479,Physical,API_Catalog
B150,The Art of Time,D. M. Chen,Biography,1987,212,Physical,API_Catalog
