session_id,reader_id,book_id,session_date,start_time,duration_minutes,pages_read,percentage_completed,format,device_type,location_type,completed,data_source
S00049,R0002,B018,2026-02-12,06:31,40.1,34,27.22,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00050,R0002,B018,2026-02-12,08:03,33.4,24,30.89,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log
S00051,R0002,B018,2026-02-12,08:31,39.5,32,35.78,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00052,R0002,B018,2026-02-13,19:08,46.9,32,40.67,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00053,R0002,B018,2026-02-14,12:56,33.0,23,44.19,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00054,R0002,B018,2026-02-14,19:38,45.8,35,49.54,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00055,R0002,B018,2026-02-17,16:57,34.0,24,53.21,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00056,R0002,B149,2026-02-20,14:31,43.0,30,6.26,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00057,R0002,B149,2026-02-23,16:41,37.1,28,12.11,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00058,R0002,B149,2026-02-24,18:05,27.3,19,16.08,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00059,R0002,B149,2026-02-26,13:41,38.7,27,21.71,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00060,R0002,B149,2026-02-28,07:40,36.0,29,27.77,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00061,R0002,B149,2026-03-05,19:33,35.0,22,32.36,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00062,R0002,B149,2026-03-08,06:57,48.8,33,39.25,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00063,R0002,B149,2026-03-08,11:09,34.3,23,44.05,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log
S00064,R0002,B149,2026-03-13,13:53,-10.0,21,48.43,Physical,Physical Book,,0,Synthetic_Session_Log
S00065,R0002,B149,2026-03-16,19:15,37.1,27,54.07,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00066,R0002,B149,2026-03-17,22:01,38.6,26,100.0,Physical,Physical Book,Commute,1,Synthetic_Session_Log
S00067,R0002,B104,2026-03-18,05:11,26.4,18,3.16,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00068,R0002,B104,2026-03-19,09:07,18.1,12,5.26,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log
S00069,R0002,B104,2026-03-19,08:09,46.4,35,11.4,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00070,R0002,B104,2026-03-21,14:46,25.6,19,14.74,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00071,R0002,B104,2026-03-24,19:51,54.9,41,21.93,Physical,Physical Book,,0,Synthetic_Session_Log
S00072,R0002,B104,2026-03-25,07:17,53.7,35,28.07,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00073,R0002,B104,2026-03-27,09:21,25.4,16,30.88,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00074,R0002,B104,2026-03-27,17:51,47.8,36,37.19,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00075,R0002,B040,2026-03-27,18:10,52.0,33,4.69,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00076,R0002,B040,2026-03-27,23:41,27.7,20,7.54,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00077,R0002,B040,2026-03-28,19:20,33.9,26,11.24,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00078,R0002,B138,2026-03-29,17:23,49.4,36,12.08,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00079,R0002,B138,2026-04-03,18:00,43.6,40,25.5,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00080,R0002,B138,2026-04-04,14:31,28.5,19,31.88,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00081,R0002,B138,2026-04-04,20:43,36.6,26,40.6,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00082,R0002,B138,2026-04-11,07:02,47.0,40,100.0,Physical,Physical Book,Commute,1,Synthetic_Session_Log
S00083,R0002,B089,2026-04-12,09:24,37.7,26,7.62,Physical,Physical Book,Coffee Shop,0,Synthetic_Session_Log
S00084,R0002,B089,2026-04-13,18:53,40.8,26,15.25,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00085,R0002,B089,2026-04-13,19:33,41.7,26,22.87,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00086,R0002,B089,2026-04-13,02:09,36.1,25,30.21,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00087,R0002,B089,2026-04-15,13:59,37.4,32,39.59,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00088,R0002,B089,2026-04-18,12:14,39.8,32,48.97,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00089,R0002,B089,2026-04-19,05:13,41.8,31,58.06,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00090,R0002,B061,2026-04-20,18:35,16.1,14,2.14,Ebook,Phone,Library,0,Synthetic_Session_Log
S00091,R0002,B061,2026-04-22,16:22,38.5,28,6.43,Ebook,Phone,Commute,0,Synthetic_Session_Log
S00092,R0002,B061,2026-04-23,01:05,38.3,32,11.33,Ebook,Phone,Library,0,Synthetic_Session_Log
S00093,R0002,B061,2026-04-23,07:14,34.3,29,15.77,Ebook,Phone,Home,0,Synthetic_Session_Log
S00094,R0002,B061,2026-04-24,18:58,38.4,30,20.37,Ebook,Phone,Home,0,Synthetic_Session_Log
S00095,R0002,B061,2026-04-25,16:45,32.2,25,24.2,Ebook,Phone,Outdoor,0,Synthetic_Session_Log
S00096,R0002,B061,2026-04-30,16:08,45.3,37,29.86,Ebook,Phone,Home,0,Synthetic_Session_Log
S00097,R0002,B005,2026-05-01,14:43,31.7,26,4.82,Ebook,Phone,Commute,0,Synthetic_Session_Log
S00098,R0002,B005,2026-05-04,23:45,12.4,10,6.68,Ebook,Phone,Home,0,Synthetic_Session_Log
S00099,R0002,B005,2026-05-05,14:19,20.5,18,10.02,Ebook,Phone,Home,0,Synthetic_Session_Log
S00100,R0002,B005,2026-05-07,07:26,33.9,25,14.66,Ebook,Phone,,0,Synthetic_Session_Log
S00101,R0002,B005,2026-05-10,13:18,39.5,36,21.34,Ebook,Phone,Home,0,Synthetic_Session_Log
S00102,R0002,B005,2026-05-10,10:51,46.4,37,28.2,Ebook,Phone,Home,0,Synthetic_Session_Log
S00103,R0002,B005,2026-05-10,16:25,31.5,23,32.47,Ebook,Phone,Commute,0,Synthetic_Session_Log
S00104,R0002,B005,2026-05-11,06:18,24.5,20,36.18,Ebook,Phone,Home,0,Synthetic_Session_Log
S00105,R0002,B005,2026-05-11,21:33,51.7,42,43.97,Ebook,Phone,Home,0,Synthetic_Session_Log
S00106,R0002,B005,2026-05-12,17:00,32.4,27,48.98,Ebook,Phone,Home,0,Synthetic_Session_Log
S00107,R0003,B120,2026-01-13,05:24,26.9,27,6.63,Ebook,Phone,Coffee Shop,0,Synthetic_Session_Log
S00108,R0003,B120,2026-01-15,21:06,9.4,8,8.6,Ebook,Phone,Coffee Shop,0,Synthetic_Session_Log
S00109,R0003,B120,2026-01-15,07:27,13.7,14,12.04,Ebook,Phone,Library,0,Synthetic_Session_Log
S00110,R0003,B120,2026-01-16,06:13,36.6,31,19.66,Ebook,Phone,Coffee Shop,0,Synthetic_Session_Log
S00111,R0003,B120,2026-01-17,11:28,30.6,31,27.27,Ebook,Phone,Coffee Shop,0,Synthetic_Session_Log
S00112,R0003,B120,2026-01-17,17:52,51.9,44,100.0,Ebook,Phone,Home,1,Synthetic_Session_Log
S00113,R0003,B007,2026-01-19,07:48,37.2,27,14.84,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00114,R0003,B007,2026-01-20,12:51,29.6,23,27.47,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00115,R0003,B007,2026-01-20,17:53,38.8,30,43.96,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00116,R0003,B007,2026-01-23,16:23,39.8,37,64.29,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00117,R0003,B007,2026-01-24,20:17,48.6,41,86.81,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00118,R0003,B007,2026-01-26,15:45,43.1,40,100.0,Physical,Physical Book,Library,1,Synthetic_Session_Log
S00119,R0003,B011,2026-01-28,20:17,28.3,22,8.87,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00120,R0003,B011,2026-01-29,22:25,43.6,33,22.18,Physical,Physical Book,,0,Synthetic_Session_Log
S00121,R0003,B011,2026-01-30,15:30,43.3,40,100.0,Physical,Physical Book,Home,1,Synthetic_Session_Log
S00122,R0003,B103,2026-01-30,16:52,57.9,44,20.95,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00123,R0003,B103,2026-01-30,17:42,54.2,43,41.43,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log
S00124,R0003,B103,2026-02-02,08:10,41.3,38,59.52,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00125,R0003,B103,2026-02-04,16:43,37.4,33,75.24,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00126,R0003,B103,2026-02-04,09:30,60.7,54,100.0,Physical,Physical Book,Home,1,Synthetic_Session_Log
S00127,R0003,B061,2026-02-04,17:41,39.9,35,5.36,Ebook,Tablet,Commute,0,Synthetic_Session_Log
S00128,R0003,B061,2026-02-05,17:58,28.1,25,9.19,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00129,R0003,B061,2026-02-06,05:46,28.6,28,13.48,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00130,R0003,B061,2026-02-07,00:02,33.3,29,17.92,Ebook,Tablet,Commute,0,Synthetic_Session_Log
S00131,R0003,B061,2026-02-10,16:12,38.1,37,23.58,Ebook,Tablet,Outdoor,0,Synthetic_Session_Log
S00132,R0003,B061,2026-02-11,13:09,27.5,25,27.41,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00133,R0003,B061,2026-02-11,07:47,22.8,22,100.0,Ebook,Tablet,Home,1,Synthetic_Session_Log
S00134,R0003,B068,2026-02-11,12:13,41.7,34,14.11,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00135,R0003,B068,2026-02-11,11:31,8.0,7,17.01,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00136,R0003,B068,2026-02-12,08:33,37.3,34,31.12,Ebook,Tablet,,0,Synthetic_Session_Log
S00137,R0003,B068,2026-02-13,07:19,37.0,32,44.4,Ebook,Tablet,Commute,0,Synthetic_Session_Log
S00138,R0003,B068,2026-02-14,14:11,30.2,27,55.6,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00139,R0003,B068,2026-02-16,23:52,33.1,31,68.46,Ebook,Tablet,Library,0,Synthetic_Session_Log
S00140,R0003,B068,2026-02-17,17:42,26.0,26,79.25,Ebook,Tablet,Library,0,Synthetic_Session_Log
S00141,R0003,B068,2026-02-18,16:18,24.4,22,88.38,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00142,R0003,B068,2026-02-23,20:34,51.7,46,100.0,Ebook,Tablet,Commute,1,Synthetic_Session_Log
S00143,R0003,B140,2026-02-23,18:59,43.1,41,12.58,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00144,R0003,B140,2026-02-23,12:05,51.7,38,24.23,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00145,R0003,B140,2026-02-24,11:42,25.5,19,30.06,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00146,R0003,B140,2026-02-24,10:43,44.8,34,40.49,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00147,R0003,B140,2026-02-25,19:19,27.6,25,48.16,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00148,R0003,B140,2026-02-26,08:39,35.4,36,59.2,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00149,R0003,B140,2026-02-26,13:16,28.7,25,100.0,Physical,Physical Book,Home,1,Synthetic_Session_Log
S00150,R0003,B102,2026-02-26,06:10,44.4,37,25.34,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00151,R0003,B102,2026-02-27,06:17,29.1,27,43.84,Physical,Physical Book,,0,Synthetic_Session_Log
S00152,R0003,B102,2026-02-27,17:24,47.4,40,71.23,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00153,R0003,B102,2026-03-02,13:15,27.7,21,85.62,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00154,R0003,B102,2026-03-02,08:39,29.8,22,100.0,Physical,Physical Book,Commute,1,Synthetic_Session_Log
S00155,R0003,B110,2026-03-02,06:41,39.5,39,11.96,Ebook,Kindle,Commute,0,Synthetic_Session_Log
S00156,R0003,B110,2026-03-02,12:30,42.7,41,24.54,Ebook,Kindle,Coffee Shop,0,Synthetic_Session_Log
S00157,R0003,B110,2026-03-02,07:51,41.9,43,37.73,Ebook,Kindle,Library,0,Synthetic_Session_Log
S00158,R0003,B110,2026-03-05,19:03,38.5,34,48.16,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00159,R0003,B110,2026-03-05,20:52,13.9,12,51.84,Ebook,Kindle,Outdoor,0,Synthetic_Session_Log
S00160,R0003,B110,2026-03-05,15:53,18.5,16,56.75,Ebook,Kindle,Coffee Shop,0,Synthetic_Session_Log
S00161,R0003,B110,2026-03-07,21:13,40.7,36,67.79,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00162,R0003,B110,2026-03-07,11:54,35.8,31,77.3,Ebook,Kindle,Library,0,Synthetic_Session_Log
S00163,R0003,B110,2026-03-08,08:05,22.1,20,83.44,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00164,R0003,B110,2026-03-09,17:21,16.6,14,100.0,Ebook,Kindle,Home,1,Synthetic_Session_Log
S00165,R0004,B068,2026-01-24,11:24,29.3,20,8.3,Ebook,Tablet,Library,0,Synthetic_Session_Log
S00166,R0004,B068,2026-01-24,17:18,28.2,20,16.6,Ebook,Tablet,Outdoor,0,Synthetic_Session_Log
S00167,R0004,B068,2026-01-27,19:24,27.7,20,24.9,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00168,R0004,B068,2026-01-29,09:50,28.1,18,32.37,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00169,R0004,B068,2026-01-29,13:47,43.9,24,100.0,Ebook,Tablet,Library,1,Synthetic_Session_Log
S00170,R0004,B015,2026-02-01,07:00,24.4,16,2.16,Ebook,Phone,Commute,0,Synthetic_Session_Log
S00171,R0004,B015,2026-02-03,17:44,32.7,20,4.86,Ebook,Phone,Home,0,Synthetic_Session_Log
S00172,R0004,B015,2026-02-06,12:40,37.4,27,8.51,Ebook,Phone,Commute,0,Synthetic_Session_Log
S00173,R0004,B015,2026-02-07,16:58,23.4,19,11.08,Ebook,Phone,Library,0,Synthetic_Session_Log
S00174,R0004,B015,2026-02-10,18:34,36.7,26,14.59,Ebook,Phone,,0,Synthetic_Session_Log
S00175,R0004,B015,2026-02-11,20:23,35.1,20,17.3,Ebook,Phone,Home,0,Synthetic_Session_Log
S00176,R0004,B015,2026-02-12,06:26,42.7,32,21.62,Ebook,Phone,Home,0,Synthetic_Session_Log
S00177,R0004,B035,2026-02-12,22:31,33.9,17,3.18,Ebook,Phone,Home,0,Synthetic_Session_Log
S00178,R0004,B035,2026-02-12,14:54,64.4,53,13.08,Ebook,Phone,Home,0,Synthetic_Session_Log
S00179,R0004,B035,2026-02-19,09:16,42.8,27,18.13,Ebook,Phone,Commute,0,Synthetic_Session_Log
S00180,R0004,B035,2026-02-20,13:21,37.1,22,22.24,Ebook,Phone,Commute,0,Synthetic_Session_Log
S00181,R0004,B035,2026-02-21,13:57,44.2,31,28.04,Ebook,Phone,Home,0,Synthetic_Session_Log
S00182,R0004,B035,2026-02-24,09:15,43.1,21,31.96,Ebook,Phone,,0,Synthetic_Session_Log
S00183,R0004,B035,2026-02-27,06:42,24.9,17,35.14,Ebook,Phone,Home,0,Synthetic_Session_Log
S00184,R0004,B035,2026-02-27,18:00,39.6,22,39.25,Ebook,Phone,Home,0,Synthetic_Session_Log
S00185,R0004,B035,2026-02-27,06:58,46.6,33,45.42,Ebook,Phone,Home,0,Synthetic_Session_Log
S00186,R0004,B035,2026-02-27,23:15,39.6,23,100.0,Ebook,Phone,Home,1,Synthetic_Session_Log
S00187,R0005,B013,2026-01-08,19:53,40.8,21,4.57,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00188,R0005,B013,2026-01-15,19:21,41.4,22,9.35,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00189,R0005,B013,2026-01-18,09:25,23.8,11,11.74,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00190,R0005,B013,2026-01-19,20:37,39.2,16,15.22,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00191,R0005,B013,2026-01-20,05:59,19.7,8,16.96,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log
S00192,R0005,B013,2026-01-25,14:40,50.3,26,22.61,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00193,R0005,B013,2026-01-27,23:37,28.8,14,25.65,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00194,R0005,B013,2026-01-27,17:18,37.1,15,28.91,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00195,R0005,B013,2026-01-27,13:53,38.1,18,32.83,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00196,R0005,B013,2026-02-01,20:56,38.9,28,38.91,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log
S00197,R0005,B013,2026-02-06,19:15,42.9,19,43.04,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00198,R0005,B018,2026-02-09,18:40,28.1,15,2.29,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00199,R0005,B018,2026-02-09,12:44,31.2,14,4.43,Physical,Physical Book,Coffee Shop,0,Synthetic_Session_Log
S00200,R0005,B018,2026-02-11,18:54,43.6,22,7.8,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00201,R0005,B018,2026-02-13,06:22,33.7,23,11.31,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00202,R0005,B018,2026-02-15,17:28,49.8,27,15.44,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00203,R0005,B018,2026-02-16,10:31,39.9,22,100.0,Physical,Physical Book,Library,1,Synthetic_Session_Log
S00204,R0005,B113,2026-02-17,21:46,41.8,19,10.16,Ebook,Tablet,Commute,0,Synthetic_Session_Log
S00205,R0005,B113,2026-02-19,12:26,23.1,14,17.65,Ebook,Tablet,Home,0,Synthetic_Session_Log
S00206,R0006,B130,2026-01-07,16:10,33.4,31,9.09,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00207,R0006,B130,2026-01-08,06:39,34.1,30,17.89,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00208,R0006,B130,2026-01-11,12:59,28.3,26,25.51,Ebook,Kindle,Outdoor,0,Synthetic_Session_Log
S00209,R0006,B130,2026-01-11,21:39,22.3,23,32.26,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00210,R0006,B130,2026-01-11,06:16,27.3,26,39.88,Ebook,Kindle,Outdoor,0,Synthetic_Session_Log
S00211,R0006,B130,2026-01-12,12:48,58.8,58,56.89,Ebook,Kindle,Commute,0,Synthetic_Session_Log
S00212,R0006,B130,2026-01-12,10:26,16.7,16,100.0,Ebook,Kindle,Library,1,Synthetic_Session_Log
S00213,R0006,B127,2026-01-14,09:48,32.2,21,9.91,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00214,R0006,B127,2026-01-19,16:32,20.0,17,17.92,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00215,R0006,B127,2026-01-21,20:07,51.9,49,41.04,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00216,R0006,B127,2026-01-24,12:48,51.4,38,58.96,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00217,R0006,B127,2026-01-26,14:06,41.0,41,78.3,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00218,R0006,B127,2026-01-26,19:44,29.6,25,90.09,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00219,R0006,B127,2026-01-27,17:43,47.5,42,100.0,Physical,Physical Book,,1,Synthetic_Session_Log
S00220,R0006,B036,2026-01-29,18:20,45.5,36,15.38,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00221,R0006,B036,2026-01-30,07:58,37.9,36,30.77,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00222,R0006,B036,2026-02-02,13:18,50.5,39,47.44,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00223,R0006,B036,2026-02-05,07:11,41.6,40,64.53,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00224,R0006,B036,2026-02-05,16:18,46.5,40,81.62,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00225,R0006,B036,2026-02-07,20:10,45.9,38,97.86,Physical,Physical Book,Library,1,Synthetic_Session_Log
S00226,R0006,B114,2026-02-07,08:20,38.8,40,7.03,Ebook,Kindle,Library,0,Synthetic_Session_Log
S00227,R0006,B114,2026-02-12,19:54,32.5,34,13.01,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00228,R0006,B114,2026-02-12,18:16,37.8,39,19.86,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00229,R0006,B114,2026-02-12,08:33,46.6,40,26.89,Ebook,Kindle,Coffee Shop,0,Synthetic_Session_Log
S00230,R0007,B019,2026-01-10,14:07,31.1,13,4.78,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00231,R0007,B019,2026-01-13,09:35,36.7,14,9.93,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00232,R0007,B019,2026-01-14,09:20,35.5,18,16.54,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00233,R0007,B019,2026-01-16,20:43,46.5,19,23.53,Physical,Physical Book,Home,0,Synthetic_Session_Log
