book_id,title,author,genre,publication_year,page_count,format_availability,data_source,genre_clean
B088,Echoes of Eternity,E. J. Harrison,Non-Fiction,2017,624,Physical,API_Catalog,Non-Fiction
B089,Echoes of Thinking,C. R. Vance,Fantasy,2017,341,Physical,API_Catalog,Fantasy
B090,Beyond the Data,L. T. Torres,Romance,2009,275,Ebook,API_Catalog,Romance
B091,Shadows over Wisdom,I. M. Banks,Self-Help,2025,705,Both,API_Catalog,Self-Help
B092,Beyond the Time,B. K. Thorne,SciFi,1994,326,Both,API_Catalog,Science Fiction
B093,The Art of Wisdom,A. E. Sterling,Fiction,2002,459,Both,API_Catalog,Fiction
B094,Chronicles of Eternity,K. N. Robinson,Fantasy,1999,323,Physical,API_Catalog,Fantasy
B095,Principles of Solitude,I. M. Banks,non_fiction,1987,694,Physical,API_Catalog,Non-Fiction
B096,The Art of Thinking,A. E. Sterling,Non-Fiction,2000,727,Physical,API_Catalog,Non-Fiction
B097,Echoes of Eternity,I. M. Banks,Fiction,1984,239,Both,API_Catalog,Fiction
B098,Chronicles of Thinking,C. R. Vance,Biography,1985,336,Both,API_Catalog,Biography
B099,Principles of Time,E. J. Harrison,Romance,2019,574,Both,API_Catalog,Romance
B100,The Silent Stars,D. M. Chen,SciFi,2017,377,Both,API_Catalog,Science Fiction
B101,Shadows over Mind,F. L. Mercer,Self Help,2012,301,Both,API_Catalog,Self-Help
B102,The Art of Eternity,D. M. Chen,Mystery,2017,146,Both,API_Catalog,Mystery
B103,Principles of Empire,A. E. Sterling,Mystery,2022,210,Both,API_Catalog,Mystery
B104,Chronicles of Empire,K. N. Robinson,non_fiction,1989,570,Both,API_Catalog,Non-Fiction
B105,Shadows over Wisdom,C. R. Vance,Self Help,2014,470,Physical,API_Catalog,Self-Help
B106,Echoes of Empire,A. E. Sterling,Self-Help,1992,578,Ebook,API_Catalog,Self-Help
B107,Shadows over Data,H. P. Craft,Romance,1990,627,Both,API_Catalog,Romance
B108,Beyond the Data,D. M. Chen,Fiction,2014,717,Physical,API_Catalog,Fiction
B109,Shadows over Empire,F. L. Mercer,Fantasy,1993,233,Both,API_Catalog,Fantasy
B110,Echoes of Wisdom,F. L. Mercer,SciFi,2015,326,Ebook,API_Catalog,Science Fiction
B111,The Art of Thinking,F. L. Mercer,Fiction,2014,634,Both,API_Catalog,Fiction
B112,Echoes of Wisdom,C. R. Vance,Sci-Fi,2000,244,Ebook,API_Catalog,Science Fiction
B113,Beyond the Time,B. K. Thorne,Sci-Fi,2004,187,Both,API_Catalog,Science Fiction
B114,The Art of Stars,L. T. Torres,Self Help,1998,569,Both,API_Catalog,Self-Help
B115,Chronicles of Empire,J. K. Rowling,Academic,2022,395,Ebook,API_Catalog,Academic
B116,Echoes of Empire,J. K. Rowling,Science Fiction,2002,741,Ebook,API_Catalog,Science Fiction
B117,Beyond the Time,L. T. Torres,Biography,2007,310,Physical,API_Catalog,Biography
B118,The Silent Thinking,I. M. Banks,SciFi,2000,681,Both,API_Catalog,Science Fiction
B119,Shadows over Stars,G. H. Wells,Non-Fiction,2021,587,Both,API_Catalog,Non-Fiction
B120,Chronicles of Stars,K. N. Robinson,Non-Fiction,1993,407,Ebook,API_Catalog,Non-Fiction
B121,Beyond the Thinking,E. J. Harrison,SciFi,1997,274,Both,API_Catalog,Science Fiction
B122,The Art of Stars,G. H. Wells,non_fiction,1997,590,Both,API_Catalog,Non-Fiction
B123,Beyond the Thinking,C. R. Vance,Science Fiction,2023,462,Both,API_Catalog,Science Fiction
B124,The Art of Empire,K. N. Robinson,non_fiction,2004,301,Physical,API_Catalog,Non-Fiction
B125,Principles of Wisdom,G. H. Wells,Academic,1998,183,Both,API_Catalog,Academic
B126,The Silent Wisdom,E. J. Harrison,Science Fiction,1980,735,Both,API_Catalog,Science Fiction
B127,The Art of Stars,H. P. Craft,Self-Help,2001,212,Both,API_Catalog,Self-Help
B128,Guide to Data,I. M. Banks,Self-Help,1999,553,Both,API_Catalog,Self-Help
B129,Principles of Mind,E. J. Harrison,Academic,2022,326,Both,API_Catalog,Academic
B130,Chronicles of Mind,D. M. Chen,SciFi,1999,341,Both,API_Catalog,Science Fiction
B131,Beyond the Data,D. M. Chen,Mystery,2007,303,Both,API_Catalog,Mystery
B132,The Silent Time,D. M. Chen,Self-Help,1992,557,Ebook,API_Catalog,Self-Help
B133,Echoes of Solitude,G. H. Wells,SciFi,1987,269,Both,API_Catalog,Science Fiction
B134,Shadows over Empire,H. P. Craft,Biography,2008,415,Physical,API_Catalog,Biography
B135,Shadows over Eternity,K. N. Robinson,non_fiction,1996,459,Both,API_Catalog,Non-Fiction
B136,The Silent Mind,G. H. Wells,Science Fiction,1995,638,Ebook,API_Catalog,Science Fiction
B137,Principles of Thinking,H. P. Craft,Fiction,2006,300,Both,API_Catalog,Fiction
B138,Shadows over Mind,H. P. Craft,Mystery,1988,298,Physical,API_Catalog,Mystery
B139,Guide to Thinking,I. M. Banks,Sci-Fi,2021,584,Both,API_Catalog,Science Fiction
B140,Chronicles of Solitude,J. K. Rowling,non_fiction,1987,326,Both,API_Catalog,Non-Fiction
B141,The Art of Thinking,H. P. Craft,Mystery,2009,485,Ebook,API_Catalog,Mystery
B142,Guide to Solitude,E. J. Harrison,Self Help,2018,428,Both,API_Catalog,Self-Help
B143,Shadows over Wisdom,I. M. Banks,Self-Help,1996,183,Both,API_Catalog,Self-Help
B144,Shadows over Wisdom,H. P. Craft,Non-Fiction,2008,613,Ebook,API_Catalog,Non-Fiction
B145,Beyond the Data,E. J. Harrison,Romance,1986,483,Physical,API_Catalog,Romance
B146,Chronicles of Thinking,B. K. Thorne,Mystery,1999,169,Physical,API_Catalog,Mystery
B147,Principles of Data,G. H. Wells,non_fiction,1989,683,Ebook,API_Catalog,Non-Fiction
B148,Principles of Data,B. K. Thorne,Biography,1999,703,Ebook,API_Catalog,Biography
B149,The Art of Stars,I. M. Banks,Self-Help,2002,479,Physical,API_Catalog,Self-Help
B150,The Art of Time,D. M. Chen,Biography,1987,212,Physical,API_Catalog,Biography
