session_id,reader_id,book_id,session_date,start_time,duration_minutes,pages_read,percentage_completed,format,device_type,location_type,completed,data_source,pages_per_minute,is_duration_outlier,is_speed_outlier,time_of_day,day_of_week
S00015,R0001,B039,2026-01-29,19:44,41.0,36,100.0,Physical,Physical Book,Commute,1,Synthetic_Session_Log,0.8780487804878049,0,0,Evening,Thursday
S00016,R0001,B028,2026-01-29,16:12,37.7,29,5.03,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log,0.7692307692307692,0,0,Afternoon,Thursday
S00017,R0001,B028,2026-01-29,10:07,45.4,42,12.33,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.9251101321585904,0,0,Morning,Thursday
S00018,R0001,B028,2026-01-31,15:29,49.7,40,19.27,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8048289738430583,0,0,Afternoon,Saturday
S00019,R0001,B028,2026-01-31,08:54,25.8,23,23.26,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.8914728682170543,0,0,Morning,Saturday
S00020,R0001,B028,2026-02-01,19:52,17.2,17,26.22,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.9883720930232559,0,0,Evening,Sunday
S00021,R0001,B028,2026-02-01,02:33,31.5,24,30.38,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7619047619047619,0,0,Night,Sunday
S00022,R0001,B028,2026-02-03,21:07,29.9,24,34.55,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.802675585284281,0,0,Evening,Tuesday
S00023,R0001,B049,2026-02-03,19:31,43.3,41,9.67,Ebook,Kindle,Library,0,Synthetic_Session_Log,0.9468822170900694,0,0,Evening,Tuesday
S00024,R0001,B049,2026-02-08,12:37,47.3,45,20.28,Ebook,Kindle,Home,0,Synthetic_Session_Log,0.9513742071881607,0,0,Afternoon,Sunday
S00025,R0001,B049,2026-02-09,03:50,44.1,47,31.37,Ebook,Kindle,Commute,0,Synthetic_Session_Log,1.0657596371882085,0,0,Night,Monday
S00026,R0001,B049,2026-02-09,10:37,23.1,23,36.79,Ebook,Kindle,Home,0,Synthetic_Session_Log,0.9956709956709956,0,0,Morning,Monday
S00027,R0001,B049,2026-02-16,01:31,11.4,11,39.39,Ebook,Kindle,Home,0,Synthetic_Session_Log,0.9649122807017544,0,0,Night,Monday
S00028,R0001,B049,2026-02-18,09:45,30.9,27,45.75,Ebook,Kindle,Home,0,Synthetic_Session_Log,0.8737864077669903,0,0,Morning,Wednesday
S00029,R0001,B049,2026-02-19,20:11,27.3,23,51.18,Ebook,Kindle,Outdoor,0,Synthetic_Session_Log,0.8424908424908425,0,0,Evening,Thursday
S00030,R0001,B049,2026-02-19,06:15,21.8,22,56.37,Ebook,Kindle,Home,0,Synthetic_Session_Log,1.0091743119266054,0,0,Morning,Thursday
S00031,R0001,B125,2026-02-19,14:41,34.6,35,19.13,Ebook,Phone,Home,0,Synthetic_Session_Log,1.0115606936416184,0,0,Afternoon,Thursday
S00032,R0001,B125,2026-02-19,10:02,22.5,24,32.24,Ebook,Phone,Home,0,Synthetic_Session_Log,1.0666666666666667,0,0,Morning,Thursday
S00033,R0001,B125,2026-02-22,20:22,21.6,18,42.08,Ebook,Phone,Home,0,Synthetic_Session_Log,0.8333333333333333,0,0,Evening,Sunday
S00034,R0001,B125,2026-02-23,18:02,23.6,19,100.0,Ebook,Phone,Library,1,Synthetic_Session_Log,0.8050847457627118,0,0,Evening,Monday
S00035,R0001,B013,2026-02-23,18:57,45.8,33,7.17,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7205240174672489,0,0,Evening,Monday
S00036,R0001,B013,2026-02-23,07:04,33.9,28,100.0,Physical,Physical Book,Unknown / Unspecified,1,Synthetic_Session_Log,0.8259587020648967,0,0,Morning,Monday
S00037,R0002,B091,2026-01-27,06:37,53.2,41,5.82,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7706766917293233,0,0,Morning,Tuesday
S00038,R0002,B091,2026-01-29,15:11,40.9,31,10.21,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.7579462102689487,0,0,Afternoon,Thursday
S00039,R0002,B091,2026-01-30,09:27,37.3,28,14.18,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7506702412868633,0,0,Morning,Friday
S00040,R0002,B091,2026-01-30,05:11,23.0,17,16.6,Physical,Physical Book,Coffee Shop,0,Synthetic_Session_Log,0.7391304347826086,0,0,Morning,Friday
S00041,R0002,B091,2026-01-31,07:41,48.8,33,21.28,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.6762295081967213,0,0,Morning,Saturday
S00042,R0002,B091,2026-02-01,11:07,26.2,19,23.97,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.7251908396946565,0,0,Morning,Sunday
S00043,R0002,B091,2026-02-02,21:34,32.4,20,26.81,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.617283950617284,0,0,Evening,Monday
S00044,R0002,B091,2026-02-05,12:48,29.3,20,100.0,Physical,Physical Book,Home,1,Synthetic_Session_Log,0.68259385665529,0,0,Afternoon,Thursday
S00045,R0002,B018,2026-02-07,15:25,36.2,27,4.13,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7458563535911602,0,0,Afternoon,Saturday
S00046,R0002,B018,2026-02-09,17:03,55.2,42,10.55,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7608695652173912,0,0,Evening,Monday
S00047,R0002,B018,2026-02-10,07:18,48.3,40,16.67,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8281573498964804,0,0,Morning,Tuesday
S00048,R0002,B018,2026-02-12,21:43,42.3,35,22.02,Physical,Physical Book,Unknown / Unspecified,0,Synthetic_Session_Log,0.8274231678486998,0,0,Evening,Thursday
S00049,R0002,B018,2026-02-12,06:31,40.1,34,27.22,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.8478802992518703,0,0,Morning,Thursday
S00050,R0002,B018,2026-02-12,08:03,33.4,24,30.89,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log,0.718562874251497,0,0,Morning,Thursday
S00051,R0002,B018,2026-02-12,08:31,39.5,32,35.78,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.810126582278481,0,0,Morning,Thursday
S00052,R0002,B018,2026-02-13,19:08,46.9,32,40.67,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6823027718550106,0,0,Evening,Friday
S00053,R0002,B018,2026-02-14,12:56,33.0,23,44.19,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.696969696969697,0,0,Afternoon,Saturday
S00054,R0002,B018,2026-02-14,19:38,45.8,35,49.54,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7641921397379913,0,0,Evening,Saturday
S00055,R0002,B018,2026-02-17,16:57,34.0,24,53.21,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.7058823529411765,0,0,Afternoon,Tuesday
S00056,R0002,B149,2026-02-20,14:31,43.0,30,6.26,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6976744186046512,0,0,Afternoon,Friday
S00057,R0002,B149,2026-02-23,16:41,37.1,28,12.11,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.7547169811320754,0,0,Afternoon,Monday
S00058,R0002,B149,2026-02-24,18:05,27.3,19,16.08,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6959706959706959,0,0,Evening,Tuesday
S00059,R0002,B149,2026-02-26,13:41,38.7,27,21.71,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.6976744186046511,0,0,Afternoon,Thursday
S00060,R0002,B149,2026-02-28,07:40,36.0,29,27.77,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8055555555555556,0,0,Morning,Saturday
S00061,R0002,B149,2026-03-05,19:33,35.0,22,32.36,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.6285714285714286,0,0,Evening,Thursday
S00062,R0002,B149,2026-03-08,06:57,48.8,33,39.25,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6762295081967213,0,0,Morning,Sunday
S00063,R0002,B149,2026-03-08,11:09,34.3,23,44.05,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log,0.6705539358600584,0,0,Morning,Sunday
S00064,R0002,B149,2026-03-13,13:53,35.1,21,48.43,Physical,Physical Book,Unknown / Unspecified,0,Synthetic_Session_Log,0.5982905982905983,0,0,Afternoon,Friday
S00065,R0002,B149,2026-03-16,19:15,37.1,27,54.07,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.7277628032345013,0,0,Evening,Monday
S00066,R0002,B149,2026-03-17,22:01,38.6,26,100.0,Physical,Physical Book,Commute,1,Synthetic_Session_Log,0.6735751295336787,0,0,Night,Tuesday
S00067,R0002,B104,2026-03-18,05:11,26.4,18,3.16,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6818181818181819,0,0,Morning,Wednesday
S00068,R0002,B104,2026-03-19,09:07,18.1,12,5.26,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log,0.6629834254143646,0,0,Morning,Thursday
S00069,R0002,B104,2026-03-19,08:09,46.4,35,11.4,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.7543103448275862,0,0,Morning,Thursday
S00070,R0002,B104,2026-03-21,14:46,25.6,19,14.74,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.7421875,0,0,Afternoon,Saturday
S00071,R0002,B104,2026-03-24,19:51,54.9,41,21.93,Physical,Physical Book,Unknown / Unspecified,0,Synthetic_Session_Log,0.7468123861566485,0,0,Evening,Tuesday
S00072,R0002,B104,2026-03-25,07:17,53.7,35,28.07,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6517690875232774,0,0,Morning,Wednesday
S00073,R0002,B104,2026-03-27,09:21,25.4,16,30.88,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6299212598425197,0,0,Morning,Friday
S00074,R0002,B104,2026-03-27,17:51,47.8,36,37.19,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.7531380753138076,0,0,Evening,Friday
S00075,R0002,B040,2026-03-27,18:10,52.0,33,4.69,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6346153846153846,0,0,Evening,Friday
S00076,R0002,B040,2026-03-27,23:41,27.7,20,7.54,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7220216606498195,0,0,Night,Friday
S00077,R0002,B040,2026-03-28,19:20,33.9,26,11.24,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7669616519174042,0,0,Evening,Saturday
S00078,R0002,B138,2026-03-29,17:23,49.4,36,12.08,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.728744939271255,0,0,Evening,Sunday
S00079,R0002,B138,2026-04-03,18:00,43.6,40,25.5,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.9174311926605504,0,0,Evening,Friday
S00080,R0002,B138,2026-04-04,14:31,28.5,19,31.88,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.6666666666666666,0,0,Afternoon,Saturday
S00081,R0002,B138,2026-04-04,20:43,36.6,26,40.6,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7103825136612022,0,0,Evening,Saturday
S00082,R0002,B138,2026-04-11,07:02,47.0,40,100.0,Physical,Physical Book,Commute,1,Synthetic_Session_Log,0.851063829787234,0,0,Morning,Saturday
S00083,R0002,B089,2026-04-12,09:24,37.7,26,7.62,Physical,Physical Book,Coffee Shop,0,Synthetic_Session_Log,0.689655172413793,0,0,Morning,Sunday
S00084,R0002,B089,2026-04-13,18:53,40.8,26,15.25,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.6372549019607844,0,0,Evening,Monday
S00085,R0002,B089,2026-04-13,19:33,41.7,26,22.87,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6235011990407674,0,0,Evening,Monday
S00086,R0002,B089,2026-04-13,02:09,36.1,25,30.21,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.6925207756232686,0,0,Night,Monday
S00087,R0002,B089,2026-04-15,13:59,37.4,32,39.59,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.8556149732620321,0,0,Afternoon,Wednesday
S00088,R0002,B089,2026-04-18,12:14,39.8,32,48.97,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.8040201005025126,0,0,Afternoon,Saturday
S00089,R0002,B089,2026-04-19,05:13,41.8,31,58.06,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7416267942583733,0,0,Morning,Sunday
S00090,R0002,B061,2026-04-20,18:35,16.1,14,2.14,Ebook,Phone,Library,0,Synthetic_Session_Log,0.8695652173913043,0,0,Evening,Monday
S00091,R0002,B061,2026-04-22,16:22,38.5,28,6.43,Ebook,Phone,Commute,0,Synthetic_Session_Log,0.7272727272727273,0,0,Afternoon,Wednesday
S00092,R0002,B061,2026-04-23,01:05,38.3,32,11.33,Ebook,Phone,Library,0,Synthetic_Session_Log,0.8355091383812011,0,0,Night,Thursday
S00093,R0002,B061,2026-04-23,07:14,34.3,29,15.77,Ebook,Phone,Home,0,Synthetic_Session_Log,0.8454810495626823,0,0,Morning,Thursday
S00094,R0002,B061,2026-04-24,18:58,38.4,30,20.37,Ebook,Phone,Home,0,Synthetic_Session_Log,0.78125,0,0,Evening,Friday
S00095,R0002,B061,2026-04-25,16:45,32.2,25,24.2,Ebook,Phone,Outdoor,0,Synthetic_Session_Log,0.7763975155279502,0,0,Afternoon,Saturday
S00096,R0002,B061,2026-04-30,16:08,45.3,37,29.86,Ebook,Phone,Home,0,Synthetic_Session_Log,0.8167770419426049,0,0,Afternoon,Thursday
S00097,R0002,B005,2026-05-01,14:43,31.7,26,4.82,Ebook,Phone,Commute,0,Synthetic_Session_Log,0.8201892744479495,0,0,Afternoon,Friday
S00098,R0002,B005,2026-05-04,23:45,12.4,10,6.68,Ebook,Phone,Home,0,Synthetic_Session_Log,0.8064516129032258,0,0,Night,Monday
S00099,R0002,B005,2026-05-05,14:19,20.5,18,10.02,Ebook,Phone,Home,0,Synthetic_Session_Log,0.8780487804878049,0,0,Afternoon,Tuesday
S00100,R0002,B005,2026-05-07,07:26,33.9,25,14.66,Ebook,Phone,Unknown / Unspecified,0,Synthetic_Session_Log,0.7374631268436579,0,0,Morning,Thursday
S00101,R0002,B005,2026-05-10,13:18,39.5,36,21.34,Ebook,Phone,Home,0,Synthetic_Session_Log,0.9113924050632911,0,0,Afternoon,Sunday
S00102,R0002,B005,2026-05-10,10:51,46.4,37,28.2,Ebook,Phone,Home,0,Synthetic_Session_Log,0.7974137931034483,0,0,Morning,Sunday
S00103,R0002,B005,2026-05-10,16:25,31.5,23,32.47,Ebook,Phone,Commute,0,Synthetic_Session_Log,0.7301587301587301,0,0,Afternoon,Sunday
S00104,R0002,B005,2026-05-11,06:18,24.5,20,36.18,Ebook,Phone,Home,0,Synthetic_Session_Log,0.8163265306122449,0,0,Morning,Monday
S00105,R0002,B005,2026-05-11,21:33,51.7,42,43.97,Ebook,Phone,Home,0,Synthetic_Session_Log,0.8123791102514506,0,0,Evening,Monday
S00106,R0002,B005,2026-05-12,17:00,32.4,27,48.98,Ebook,Phone,Home,0,Synthetic_Session_Log,0.8333333333333334,0,0,Evening,Tuesday
S00107,R0003,B120,2026-01-13,05:24,26.9,27,6.63,Ebook,Phone,Coffee Shop,0,Synthetic_Session_Log,1.0037174721189592,0,0,Morning,Tuesday
S00108,R0003,B120,2026-01-15,21:06,9.4,8,8.6,Ebook,Phone,Coffee Shop,0,Synthetic_Session_Log,0.851063829787234,0,0,Evening,Thursday
S00109,R0003,B120,2026-01-15,07:27,13.7,14,12.04,Ebook,Phone,Library,0,Synthetic_Session_Log,1.0218978102189782,0,0,Morning,Thursday
S00110,R0003,B120,2026-01-16,06:13,36.6,31,19.66,Ebook,Phone,Coffee Shop,0,Synthetic_Session_Log,0.8469945355191256,0,0,Morning,Friday
S00111,R0003,B120,2026-01-17,11:28,30.6,31,27.27,Ebook,Phone,Coffee Shop,0,Synthetic_Session_Log,1.0130718954248366,0,0,Morning,Saturday
S00112,R0003,B120,2026-01-17,17:52,51.9,44,100.0,Ebook,Phone,Home,1,Synthetic_Session_Log,0.8477842003853565,0,0,Evening,Saturday
S00113,R0003,B007,2026-01-19,07:48,37.2,27,14.84,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.7258064516129031,0,0,Morning,Monday
S00114,R0003,B007,2026-01-20,12:51,29.6,23,27.47,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.777027027027027,0,0,Afternoon,Tuesday
S00115,R0003,B007,2026-01-20,17:53,38.8,30,43.96,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.7731958762886598,0,0,Evening,Tuesday
S00116,R0003,B007,2026-01-23,16:23,39.8,37,64.29,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.9296482412060302,0,0,Afternoon,Friday
S00117,R0003,B007,2026-01-24,20:17,48.6,41,86.81,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8436213991769547,0,0,Evening,Saturday
S00118,R0003,B007,2026-01-26,15:45,43.1,40,100.0,Physical,Physical Book,Library,1,Synthetic_Session_Log,0.9280742459396751,0,0,Afternoon,Monday
S00119,R0003,B011,2026-01-28,20:17,28.3,22,8.87,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.7773851590106007,0,0,Evening,Wednesday
S00120,R0003,B011,2026-01-29,22:25,43.6,33,22.18,Physical,Physical Book,Unknown / Unspecified,0,Synthetic_Session_Log,0.7568807339449541,0,0,Night,Thursday
S00121,R0003,B011,2026-01-30,15:30,43.3,40,100.0,Physical,Physical Book,Home,1,Synthetic_Session_Log,0.9237875288683604,0,0,Afternoon,Friday
S00122,R0003,B103,2026-01-30,16:52,57.9,44,20.95,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.75993091537133,0,0,Afternoon,Friday
S00123,R0003,B103,2026-01-30,17:42,54.2,43,41.43,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log,0.7933579335793357,0,0,Evening,Friday
S00124,R0003,B103,2026-02-02,08:10,41.3,38,59.52,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.9200968523002422,0,0,Morning,Monday
S00125,R0003,B103,2026-02-04,16:43,37.4,33,75.24,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8823529411764707,0,0,Afternoon,Wednesday
S00126,R0003,B103,2026-02-04,09:30,60.7,54,100.0,Physical,Physical Book,Home,1,Synthetic_Session_Log,0.8896210873146623,0,0,Morning,Wednesday
S00127,R0003,B061,2026-02-04,17:41,39.9,35,5.36,Ebook,Tablet,Commute,0,Synthetic_Session_Log,0.8771929824561404,0,0,Evening,Wednesday
S00128,R0003,B061,2026-02-05,17:58,28.1,25,9.19,Ebook,Tablet,Home,0,Synthetic_Session_Log,0.889679715302491,0,0,Evening,Thursday
S00129,R0003,B061,2026-02-06,05:46,28.6,28,13.48,Ebook,Tablet,Home,0,Synthetic_Session_Log,0.979020979020979,0,0,Morning,Friday
S00130,R0003,B061,2026-02-07,00:02,33.3,29,17.92,Ebook,Tablet,Commute,0,Synthetic_Session_Log,0.8708708708708709,0,0,Night,Saturday
S00131,R0003,B061,2026-02-10,16:12,38.1,37,23.58,Ebook,Tablet,Outdoor,0,Synthetic_Session_Log,0.9711286089238845,0,0,Afternoon,Tuesday
S00132,R0003,B061,2026-02-11,13:09,27.5,25,27.41,Ebook,Tablet,Home,0,Synthetic_Session_Log,0.9090909090909091,0,0,Afternoon,Wednesday
S00133,R0003,B061,2026-02-11,07:47,22.8,22,100.0,Ebook,Tablet,Home,1,Synthetic_Session_Log,0.9649122807017544,0,0,Morning,Wednesday
S00134,R0003,B068,2026-02-11,12:13,41.7,34,14.11,Ebook,Tablet,Home,0,Synthetic_Session_Log,0.8153477218225419,0,0,Afternoon,Wednesday
S00135,R0003,B068,2026-02-11,11:31,8.0,7,17.01,Ebook,Tablet,Home,0,Synthetic_Session_Log,0.875,0,0,Morning,Wednesday
S00136,R0003,B068,2026-02-12,08:33,37.3,34,31.12,Ebook,Tablet,Unknown / Unspecified,0,Synthetic_Session_Log,0.9115281501340483,0,0,Morning,Thursday
S00137,R0003,B068,2026-02-13,07:19,37.0,32,44.4,Ebook,Tablet,Commute,0,Synthetic_Session_Log,0.8648648648648649,0,0,Morning,Friday
S00138,R0003,B068,2026-02-14,14:11,30.2,27,55.6,Ebook,Tablet,Home,0,Synthetic_Session_Log,0.8940397350993378,0,0,Afternoon,Saturday
S00139,R0003,B068,2026-02-16,23:52,33.1,31,68.46,Ebook,Tablet,Library,0,Synthetic_Session_Log,0.9365558912386707,0,0,Night,Monday
S00140,R0003,B068,2026-02-17,17:42,26.0,26,79.25,Ebook,Tablet,Library,0,Synthetic_Session_Log,1.0,0,0,Evening,Tuesday
S00141,R0003,B068,2026-02-18,16:18,24.4,22,88.38,Ebook,Tablet,Home,0,Synthetic_Session_Log,0.9016393442622951,0,0,Afternoon,Wednesday
S00142,R0003,B068,2026-02-23,20:34,51.7,46,100.0,Ebook,Tablet,Commute,1,Synthetic_Session_Log,0.8897485493230174,0,0,Evening,Monday
S00143,R0003,B140,2026-02-23,18:59,43.1,41,12.58,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.951276102088167,0,0,Evening,Monday
S00144,R0003,B140,2026-02-23,12:05,51.7,38,24.23,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7350096711798839,0,0,Afternoon,Monday
S00145,R0003,B140,2026-02-24,11:42,25.5,19,30.06,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.7450980392156863,0,0,Morning,Tuesday
S00146,R0003,B140,2026-02-24,10:43,44.8,34,40.49,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7589285714285715,0,0,Morning,Tuesday
S00147,R0003,B140,2026-02-25,19:19,27.6,25,48.16,Physical,Physical Book,Library,0,Synthetic_Session_Log,0.9057971014492753,0,0,Evening,Wednesday
S00148,R0003,B140,2026-02-26,08:39,35.4,36,59.2,Physical,Physical Book,Home,0,Synthetic_Session_Log,1.0169491525423728,0,0,Morning,Thursday
S00149,R0003,B140,2026-02-26,13:16,28.7,25,100.0,Physical,Physical Book,Home,1,Synthetic_Session_Log,0.8710801393728224,0,0,Afternoon,Thursday
S00150,R0003,B102,2026-02-26,06:10,44.4,37,25.34,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8333333333333334,0,0,Morning,Thursday
S00151,R0003,B102,2026-02-27,06:17,29.1,27,43.84,Physical,Physical Book,Unknown / Unspecified,0,Synthetic_Session_Log,0.9278350515463917,0,0,Morning,Friday
S00152,R0003,B102,2026-02-27,17:24,47.4,40,71.23,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.8438818565400844,0,0,Evening,Friday
S00153,R0003,B102,2026-03-02,13:15,27.7,21,85.62,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7581227436823105,0,0,Afternoon,Monday
S00154,R0003,B102,2026-03-02,08:39,29.8,22,100.0,Physical,Physical Book,Commute,1,Synthetic_Session_Log,0.7382550335570469,0,0,Morning,Monday
S00155,R0003,B110,2026-03-02,06:41,39.5,39,11.96,Ebook,Kindle,Commute,0,Synthetic_Session_Log,0.9873417721518988,0,0,Morning,Monday
S00156,R0003,B110,2026-03-02,12:30,42.7,41,24.54,Ebook,Kindle,Coffee Shop,0,Synthetic_Session_Log,0.9601873536299765,0,0,Afternoon,Monday
S00157,R0003,B110,2026-03-02,07:51,41.9,43,37.73,Ebook,Kindle,Library,0,Synthetic_Session_Log,1.026252983293556,0,0,Morning,Monday
S00158,R0003,B110,2026-03-05,19:03,38.5,34,48.16,Ebook,Kindle,Home,0,Synthetic_Session_Log,0.8831168831168831,0,0,Evening,Thursday
S00159,R0003,B110,2026-03-05,20:52,13.9,12,51.84,Ebook,Kindle,Outdoor,0,Synthetic_Session_Log,0.8633093525179856,0,0,Evening,Thursday
S00160,R0003,B110,2026-03-05,15:53,18.5,16,56.75,Ebook,Kindle,Coffee Shop,0,Synthetic_Session_Log,0.8648648648648649,0,0,Afternoon,Thursday
S00161,R0003,B110,2026-03-07,21:13,40.7,36,67.79,Ebook,Kindle,Home,0,Synthetic_Session_Log,0.8845208845208845,0,0,Evening,Saturday
S00162,R0003,B110,2026-03-07,11:54,35.8,31,77.3,Ebook,Kindle,Library,0,Synthetic_Session_Log,0.8659217877094972,0,0,Morning,Saturday
S00163,R0003,B110,2026-03-08,08:05,22.1,20,83.44,Ebook,Kindle,Home,0,Synthetic_Session_Log,0.9049773755656108,0,0,Morning,Sunday
S00164,R0003,B110,2026-03-09,17:21,16.6,14,100.0,Ebook,Kindle,Home,1,Synthetic_Session_Log,0.8433734939759036,0,0,Evening,Monday
S00165,R0004,B068,2026-01-24,11:24,29.3,20,8.3,Ebook,Tablet,Library,0,Synthetic_Session_Log,0.68259385665529,0,0,Morning,Saturday
S00166,R0004,B068,2026-01-24,17:18,28.2,20,16.6,Ebook,Tablet,Outdoor,0,Synthetic_Session_Log,0.7092198581560284,0,0,Evening,Saturday
S00167,R0004,B068,2026-01-27,19:24,27.7,20,24.9,Ebook,Tablet,Home,0,Synthetic_Session_Log,0.7220216606498195,0,0,Evening,Tuesday
S00168,R0004,B068,2026-01-29,09:50,28.1,18,32.37,Ebook,Tablet,Home,0,Synthetic_Session_Log,0.6405693950177935,0,0,Morning,Thursday
